Date,Apple,Amazon,Dell,Facebook,Google,LinkedIn,Microsoft,Netflix,Twitter,VMWare
2014-03-31,73.037003,336.369995,,60.240002000000004,556.9725030000001,184.940002,38.343579999999996,50.290001000000004,46.669998,108.019997
2014-03-28,73.053333,338.290009,,60.009997999999996,559.992565,190.58999599999999,37.698126,51.267143,47.299999,106.290001
2014-03-27,73.13498,338.47000099999997,,60.970001,558.462551,188.53999299999998,36.818816,52.025715000000005,46.32,106.660004
2014-03-26,73.45067399999999,343.410004,,60.389998999999996,565.420539,185.929993,37.221053999999995,53.182857999999996,44.43,105.559998
2014-03-25,74.159626,354.709991,,64.889999,578.782219,184.330002,37.735544,52.97714200000001,47.880001,110.08000200000001
2014-03-24,73.370393,351.850006,,64.099998,578.3875830000001,188.139999,37.885214000000005,54.128570999999994,48.77,108.760002
2014-03-21,72.51039300000001,360.619995,,67.239998,590.930063,196.720001,37.567165,57.998573,50.919998,109.209999
2014-03-20,71.942963,368.97000099999997,,66.970001,597.983016,204.419998,37.726191,60.610001000000004,50.119999,110.66999799999999
2014-03-19,72.29131600000001,373.230011,,68.239998,599.027014,201.949997,36.734626,60.012856000000006,51.240002000000004,109.349998
2014-03-18,72.310363,378.769989,,69.190002,605.0259940000001,197.850006,36.996548,60.035713,51.130001,110.220001
2014-03-17,71.67625600000001,375.040009,,68.739998,595.4555839999999,191.809998,35.593392,60.388573,52.049999,109.739998
2014-03-14,71.39729799999999,373.73999,,67.720001,585.8152200000001,196.779999,35.26599,60.64143000000001,51.919998,105.5
2014-03-13,72.20831,371.51001,,68.83000200000001,593.9370809999999,197.83999599999999,35.443721999999994,61.437141000000004,53.57,103.970001
2014-03-12,73.019315,370.640015,,70.879997,603.047979,203.080002,35.799189,62.368572,54.5,106.870003
2014-03-11,72.948554,368.820007,,70.099998,599.396618,201.5,35.565329999999996,62.49714300000001,54.02,103.75
2014-03-10,72.245046,370.52999900000003,,72.029999,605.180837,202.429993,35.378240999999996,62.849998,53.880001,103.029999
2014-03-07,72.179735,372.059998,,69.800003,606.7892469999999,206.78999299999998,35.453078000000005,64.052856,53.529999,101.510002
2014-03-06,72.221914,372.160004,,70.839996,609.196844,208.809998,35.686938,64.358574,54.830002,101.959999
2014-03-05,72.440998,372.369995,,71.57,608.522511,207.740005,35.649519,64.785713,54.380001,102.83000200000001
2014-03-04,72.288591,363.899994,,68.800003,606.8491650000001,203.0,35.93015,64.997147,54.279999,101.040001
2014-03-03,71.815053,359.77999900000003,,67.410004,600.745284,201.449997,35.340823,63.655716000000005,53.709998999999996,95.650002
2014-02-28,71.608214,362.100006,,68.459999,607.21883,204.03999299999998,35.836607,63.66143,54.91,96.050003
2014-02-27,71.802807,360.130005,,68.940002,608.997078,213.770004,35.415659999999995,64.604286,55.77,97.779999
2014-02-26,70.39850799999999,359.799988,,69.260002,609.476541,212.80000299999998,35.05084,64.112854,55.869999,97.690002
2014-02-25,71.039424,358.320007,,69.849998,609.391653,209.83999599999999,35.11632,64.718575,54.959998999999996,96.25
2014-02-24,71.786478,351.77999900000003,,70.779999,605.6503849999999,199.58999599999999,35.256634000000005,63.85714300000001,55.779999,96.690002
2014-02-21,71.473502,346.76001,,68.589996,601.294763,192.619995,35.527910999999996,61.74714300000001,55.919998,96.410004
2014-02-20,72.27634499999999,349.799988,,69.629997,601.454563,193.389999,35.312761,62.135715000000005,56.630001,95.82
2014-02-19,73.122734,347.380005,,68.059998,600.570489,196.320007,35.088255,61.175713,55.5,94.33000200000001
2014-02-18,74.295704,353.649994,,67.300003,604.836204,191.919998,35.004065000000004,62.407143000000005,58.18,95.610001
2014-02-14,74.023555,357.350006,,67.089996,600.800244,186.130005,34.929232,62.215714,57.439999,95.199997
2014-02-13,74.083422,357.200012,,67.33000200000001,599.3516950000001,191.669998,34.919948,62.364284999999995,56.470001,93.720001
2014-02-12,72.925423,349.25,,64.449997,592.753234,192.33999599999999,34.789962,61.275715000000005,56.849998,93.529999
2014-02-11,72.93086600000001,361.790009,,64.849998,594.496536,202.800003,34.511417,61.998573,54.0,93.059998
2014-02-10,71.982424,360.869995,,63.549999,585.880095,207.330002,34.167882,61.491428000000006,52.919998,93.07
2014-02-07,70.715562,361.079987,,64.32,588.1328490000001,209.58999599999999,33.94505,61.425713,54.349998,91.720001
2014-02-06,69.73990400000001,354.589996,,62.16,579.401591,223.44999700000002,33.592228999999996,58.27285799999999,50.029999,90.93
2014-02-05,69.335766,346.450012,,62.189999,571.029962,214.36000099999998,33.257977000000004,57.774283999999994,65.970001,89.599998
2014-02-04,68.821759,347.950012,,62.75,568.5124450000001,212.330002,33.750068,57.987143999999994,66.32,88.08000200000001
2014-02-03,67.839727,346.149994,,61.48,566.1498320000001,215.399994,33.870771000000005,57.76857,65.25,87.099998
2014-01-31,67.71392900000001,358.690002,,62.57,589.8961019999999,215.210007,35.133497,58.475716000000006,64.5,90.139999
2014-01-30,67.60301199999999,403.01001,,61.080002,567.128832,212.399994,34.223592,57.810001,63.470001,90.769997
2014-01-29,67.73422099999999,384.200012,,53.529999,552.908048,204.130005,34.037896,57.202858,59.450001,91.720001
2014-01-28,68.511996,394.429993,,55.139998999999996,560.94502,212.690002,33.675792,58.110001000000004,60.439999,94.940002
2014-01-27,74.463686,386.27999900000003,,53.549999,550.0658490000001,205.220001,33.452956,54.46143000000001,57.91,93.110001
2014-01-24,73.864459,387.600006,,54.450001,561.35459,217.38999900000002,34.177169,55.154284999999994,61.740002000000004,94.940002
